lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
2521,P52A,Amanecer -Terminal Calipso - Av. de las Américas,2018,5,12.37,779007.00,226716.00,10729,OK
2524,P52D,Ciudad Cordoba - Centro - Terminal,2018,5,12.20,2248512.00,663293.00,31436,OK
2801,P80A,Terminal Calipso - Santa Elena - Centro,2018,5,11.41,292061.00,92182.00,4162,OK
2841,P84A,Terminal Calipso - Terminal Andres Sanin,2018,5,13.25,1323637.00,359685.00,20929,OK
2842,P84B,Terminal Andrés Sanín - Terminal Calipso,2018,5,14.52,1190176.00,295154.00,15829,OK
3011,A01A,San Bosco - C.A.M - Centro,2018,5,12.08,279634.00,83302.00,3845,OK
3112,A11B,Universidad Libre - Universidades,2018,5,10.27,96122.00,33696.00,1225,OK
3121,A12A,Altos De La Luisa - Meléndez - Capri,2018,5,10.25,219405.00,77043.00,3594,OK
3122,A12B,Las Palmas - Estación Meléndez,2018,5,10.53,259755.00,88817.00,3905,OK
3123,A12C,Meléndez - Estación Capri,2018,5,13.13,290995.00,79768.00,3101,OK
3124,A12D,Altos De Santa Elena - Estación Meléndez,2018,5,11.09,158052.00,51292.00,2552,OK
3131,A13A,Caney - Estación Universidades,2018,5,14.84,656040.00,159125.00,8934,OK
3132,A13B,Vegas de Comfandi - Caney,2018,5,9.68,52434.00,19496.00,774,OK
3133,A13C,Lili - Estación Universidades,2018,5,7.78,37063.00,17152.00,611,OK
3141,A14A,U.S.B - Estación Universidades,2018,5,12.23,1283668.00,377705.00,16486,OK
3142,A14B,La Vorágine - Estación Universidades-,2018,5,0.00,0.00,0.00,0,NO_DATA
3171,A17A,U.A.O - U. San Martín - Estación Universidades,2018,5,16.83,1020452.00,218274.00,8778,OK
3172,A17B,Hormiguero - Estación Universidades,2018,5,15.59,375894.00,86800.00,4006,OK
3173,A17C,Comfenalco Lili - Estación  Universidades,2018,5,0.00,0.00,0.00,0,NO_DATA
3191,A19A,Comfandi Pance - Estación Universidades,2018,5,19.27,701018.00,130952.00,6736,OK
3192,A19B,La Buitrera - Estación Buitrera,2018,5,15.89,352618.00,79902.00,3808,OK
3351,A35A,Calimio Norte - Terminal Paso del Comercio,2018,5,18.64,366359.00,70775.00,3459,OK
3371,A37A,Sena - Estación Salomia,2018,5,12.48,298905.00,86240.00,4682,OK
3372,A37B,Sena - Estación Flora Industrial,2018,5,9.81,198023.00,72648.00,3957,OK
3411,A41A,Pizamos-Terminal Andrés Sanín,2018,5,14.13,1044576.00,266070.00,15554,OK
3413,A41C,Valle Grande - Terminal Andrés Sanín,2018,5,17.67,255213.00,51997.00,3188,OK
3422,A42B,La Casona - Terminal Andrés Sanín,2018,5,15.18,258269.00,61231.00,3188,OK
3441,A44A,Manuela Beltrán - Terminal Andrés Sanín,2018,5,13.50,809814.00,215948.00,12608,OK
3442,A44B,Puertas Del sol - Terminal Andrés Sanín,2018,5,14.00,621869.00,159913.00,9287,OK
3452,A45B,San Marino - Estación Villacolombia,2018,5,15.10,202806.00,48361.00,3723,OK
3721,A72A,Jardines De La Aurora - Terminal  Cañaveralejo,2018,5,5.33,172194.00,116403.00,3381,OK
3722,A72B,El Cortíjo - Terminal Cañaveralejo,2018,5,12.01,35974.00,10787.00,456,OK
3781,A78A,Los Chorros - Estación Caldas,2018,5,10.22,184644.00,65054.00,3618,OK
4272,E27B,Estación Av Las Américas - Estación Unidad Deporti,2018,5,18.74,637949.00,122521.00,5018,OK
-1,TESTGT1,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
8,TESTGT2,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
131,T31,Terminal Paso del Comercio - Universidades,2018,6,1.22,121240262.00,358532823.00,1091416,OK
140,T40,Terminal Andrés Sanín - Centro,2018,6,0.23,54997450.00,848634791.00,525296,OK
142,T42,Pizamos - Centro - Terminal,2018,6,0.18,72226134.00,1406977704.00,747558,OK
150,T50,Estación Nuevo Latír - Centro,2018,6,0.27,32459341.00,436603661.00,342206,OK
217,P17,P.U.J - Icesi - Estación Unidad Deportiva,2018,6,8.56,11111422.00,4672748.00,82247,OK
243,TESTGT3,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
251,P51,Pízamos - Universidades,2018,6,1.29,9245760.00,25723126.00,128386,OK
271,P71,Caney - Estación Unidad Deportiva,2018,6,0.24,18911260.00,286011406.00,313941,OK
272,P72,Estación Capri- Centro Empresa,2018,6,0.20,54547062.00,982479230.00,693331,OK
282,P82,Terminal Calipso - Terminal Menga,2018,6,0.23,27647222.00,429213071.00,411866,OK
283,P83,Terminal Calipso - Terminal Paso de Comercio,2018,6,0.12,9883085.00,291450181.00,120870,OK
302,A02,Atenas - Zoológico - Estación San Bosco,2018,6,0.05,17174587.00,1140720565.00,263474,OK
303,A03,Nacional - Santa librada,2018,6,0.03,3868491.00,496229934.00,74074,OK
304,A04,Bella Vista - Estación Manzana del saber,2018,6,0.03,11442195.00,1242027319.00,173946,OK
305,A05,Av. De Las Américas - C.A.M - La Portada,2018,6,0.16,14487066.00,329129125.00,184371,OK
306,A06,Aguacatal - Estación San Bosco,2018,6,0.03,18804723.00,2641003049.00,302685,OK
311,A11,Icesi - P.U.J - Estación Universidades,2018,6,0.50,14754198.00,105756820.00,225226,OK
318,A18,Hacienda El Castillo - Estación Universidades,2018,6,0.36,22296269.00,225951163.00,146198,OK
321,A21,Ciudadela Floralia - Terminal Menga,2018,6,0.07,14043149.00,729882808.00,190259,OK
322,A22,Brisas de los Áamos- Terminal Menga,2018,6,0.04,7811472.00,729078104.00,92685,OK
323,A23,Ciudadela Los Álamos-Terminal Menga,2018,6,0.02,3500725.00,707922159.00,55535,OK
324,A24,San Miguel - El Bosque - Estación Vipasa,2018,6,0.04,3686170.00,313012117.00,68885,OK
332,A32,Flora Industrial - Estación Chiminangos,2018,6,0.04,7194682.00,667570103.00,105889,OK
333,A33,Ciudadela Floralia,2018,6,0.05,16804327.00,1121887511.00,204356,OK
334,A34,Alcázares - Terminal Paso del Comercio,2018,6,0.04,4111003.00,411025382.00,57965,OK
336,A36,Guayacanes - Estación Chiminangos,2018,6,0.02,5991310.00,1231648634.00,110307,OK
347,A47,Pizamos - Terminal Andrés Sanín,2018,6,0.05,35818431.00,2415496401.00,598824,OK
352,A52,Hospital Isaias Duarte Cancino - Estación Nuevo La,2018,6,0.01,1372594.00,373353354.00,28331,OK
353,A53,Estación Amanecer - Los Lagos -Terminal Andrés San,2018,6,0.02,10539089.00,1660169758.00,143230,OK
355,A55,Compartir - Manuela Beltrán-Estación Nuevo Latír,2018,6,0.01,6309040.00,1689734444.00,122095,OK
357,A57,Villa Luz - Estación Nuevo Latír,2018,6,0.01,9598481.00,3571620930.00,153027,OK
370,A70,Mortiñal - Estación Tequendama,2018,6,0.05,6600020.00,480770150.00,94738,OK
371,A71,Los Chorros - Terminal Cañaveralejo,2018,6,0.05,16722977.00,1193061964.00,217997,OK
373,A73,Nápoles - Caldas - Terminal Cañaveralejo,2018,6,0.05,19878213.00,1355111925.00,256870,OK
375,A75,La Sirena-Terminal Cañaveralejo,2018,6,0.03,13302980.00,1538566456.00,207557,OK
376,A76,H.U.V - Terminal Cañaveralejo,2018,6,0.13,12270499.00,330361240.00,174519,OK
377,A77,Ciudad 2000 - Estación Refugio,2018,6,0.04,7158503.00,645115341.00,125857,OK
385,A85,Estación Santa Mónica - Terminal Andrés Sanín,2018,6,0.03,16695713.00,1746687643.00,231783,OK
421,E21,Terminal Menga - Estación Universidades,2018,6,1.23,141591876.00,414947487.00,1019380,OK
427,E27,Terminal Menga - Estación Capri,2018,6,0.66,55196149.00,302520723.00,452633,OK
431,E31,Terminal Paso del Comercio - Universidades,2018,6,1.58,57480471.00,130942547.00,349685,OK
437,E37,Terminal Paso del Comercio - Universidades,2018,6,0.81,59631280.00,264611421.00,448248,OK
441,E41,Terminal Andrés Sanín - Universidades,2018,6,1.08,80614449.00,268019838.00,582203,OK
452,E52,Estación Nuevo Latír - Terminal Calipso - Terminal,2018,6,0.62,14682402.00,85451290.00,121932,OK
547,TESTGT4,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
551,R51,SUR RESERVA,2018,6,7.09,319428.00,162151.00,5765,OK
552,R52,MENGA RESERVA,2018,6,6.26,321320.00,184876.00,4963,OK
553,R53,RESERVA PASO DEL COMERCIO,2018,6,0.55,156094.00,1017021.00,2966,OK
554,R54,SANIN RESERVA,2018,6,5.07,136971.00,97184.00,2713,OK
555,R55,CALIPSO RESERVA,2018,6,8.64,111949.00,46624.00,1374,OK
557,R57,CAÑAVERALEJO RESERVA,2018,6,11.66,161717.00,49937.00,1619,OK
651,D51,Alimentadora Desvio Av. Ciudad de Cali,2018,6,0.02,3552515.00,521806682.00,63045,OK
661,TESTGT5,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
722,U22,Prueba u22,2018,6,3.26,33310.00,36782.00,1267,OK
999,TESTGT6,NA,2018,6,0.00,0.00,0.00,0,NO_DATA
1472,T47B,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,6,0.48,73154811.00,544892295.00,707835,OK
1571,T57A,Estación Nuevo Latír - Estación Unidad Deportiva,2018,6,0.54,75429113.00,504360070.00,796248,OK
2101,P10A,Estación Universidades - Centro,2018,6,0.54,44955947.00,298097926.00,592591,OK
2102,P10B,Estación Universidades-El Ingenio-Estación-Estació,2018,6,0.45,30997762.00,249670548.00,463952,OK
2104,P10D,Estación Universidades - Centro,2018,6,0.86,35526406.00,148442564.00,469119,OK
2121,P12A,Est. Universidades - Est Nuevo Latír - T. A Sanín,2018,6,0.27,88095746.00,1183495378.00,1159407,OK
